"","gene_id","YTHDF2-1_count","YTHDF2-2_count","YTHDF2-3_count","Vector-1_count","Vector-2_count","Vector-3_count"
"ENSMUSG00000028180","ENSMUSG00000028180",38.1157338001864,39.9883221046252,34.2699334122599,53.70649123464,48.9821982472114,39.9702234024115
"ENSMUSG00000028182","ENSMUSG00000028182",2.76909177180841,2.13384856481458,2.33543249920586,2.19851133709052,2.8183082996094,1.6747300308273
"ENSMUSG00000028184","ENSMUSG00000028184",63.7434066686877,71.0144802370291,72.246096660216,66.457856989765,54.6188148464302,64.5329305212118
"ENSMUSG00000028187","ENSMUSG00000028187",24.1073871898615,29.4044332231449,26.248230480205,21.8594841516429,21.7009739069924,26.8515048275977
"ENSMUSG00000028189","ENSMUSG00000028189",19.3293464855646,13.2298611018504,13.9618247235133,15.2011355307402,13.189682842172,11.6672858814302
"ENSMUSG00000028188","ENSMUSG00000028188",2.497612186337,4.56643592870319,5.12779744390852,2.01006750819705,4.50929327937504,1.95385170263185
"ENSMUSG00000020755","ENSMUSG00000020755",34.966570608718,37.0436110851811,33.1529874343788,30.4022710614804,32.2978131135237,31.8198705857186
"ENSMUSG00000020752","ENSMUSG00000020752",24.6503463608043,21.9786402175901,24.7758926002709,23.1785909538972,20.9118475831018,23.2787474284994
"ENSMUSG00000020758","ENSMUSG00000020758",54.187325260094,52.9621213786978,81.0293536680989,71.1061381024707,26.9993935102581,72.7949320066265
"ENSMUSG00000069833","ENSMUSG00000069833",1932.88035263937,1225.29852288783,1892.46187843257,1838.26955085583,1225.11861784021,1287.86739370619
"ENSMUSG00000033862","ENSMUSG00000033862",21.5554790864302,18.4791285712942,18.5311491784813,16.5202423329945,20.9118475831018,13.8444349215056
"ENSMUSG00000003269","ENSMUSG00000003269",46.0429376959516,46.6459296268467,49.6025554722636,43.9702267418105,43.9092433079145,46.1667245164725
"ENSMUSG00000033860","ENSMUSG00000033860",31.7631115001553,3.28612678981445,33.5083793364319,47.0481426137372,21.0809460810783,26.7398561588758
"ENSMUSG00000069835","ENSMUSG00000069835",7.76431614448241,4.65178987129578,5.63550016112718,5.59050025717305,7.38396774497663,5.24748742992553
"ENSMUSG00000028233","ENSMUSG00000028233",36.5411522044522,46.3471908277726,37.0622983569626,36.997805072752,39.0617530325863,41.2541830927124
"ENSMUSG00000028232","ENSMUSG00000028232",13.7368670248535,14.936939953702,14.1141355386789,12.6257365358627,14.2042738300314,13.2861915778966
"ENSMUSG00000028234","ENSMUSG00000028234",101.479069049214,136.395600262948,143.832179788048,120.289977443667,67.75213152261,108.299208660165
"ENSMUSG00000046020","ENSMUSG00000046020",41.8621520796919,33.5867764101814,45.6932445496799,40.8923108698838,40.9218365103285,31.8198705857186
"ENSMUSG00000018209","ENSMUSG00000018209",52.9928150840198,75.8369779935101,75.9015562241904,74.1212393647663,61.6082194294615,69.0547016044455
"ENSMUSG00000044288","ENSMUSG00000044288",10.8591834188565,13.0591532166652,19.6988654280842,11.0553712950838,19.4463272673049,15.6308136210548
"ENSMUSG00000044285","ENSMUSG00000044285",540.787334259054,500.643550276796,432.613485342024,470.732684575897,522.401626415599,495.943386462323
"ENSMUSG00000006958","ENSMUSG00000006958",8.4158671496138,6.5722535796289,7.71708130172371,9.73626449282946,7.27123541299226,8.93189349774558
"ENSMUSG00000087574","ENSMUSG00000087574",2.1718366837713,1.74975582314795,2.08158114059653,1.57036524077895,3.04377296357815,1.84220303391003
"ENSMUSG00000087579","ENSMUSG00000087579",6.56980596840819,5.93209901018452,2.13235141231839,1.75880906967242,2.31101280567971,7.9270554792492
"ENSMUSG00000058569","ENSMUSG00000058569",55.1646517677911,70.8864493231403,58.6904341104777,63.3171265082071,60.9318254375553,65.3144712022646
"ENSMUSG00000021583","ENSMUSG00000021583",90.9999570500176,105.625503958322,77.9323670930651,90.8299255266542,81.843673020657,95.0688414166295
"ENSMUSG00000021585","ENSMUSG00000021585",160.770210516171,135.243322037948,166.577261519444,182.790514026669,160.587206911744,144.8083233322
"ENSMUSG00000021589","ENSMUSG00000021589",26.0620402052556,38.1532123388846,28.2282710773578,25.6283607295124,29.084941651969,27.2980995024849
"ENSMUSG00000097309","ENSMUSG00000097309",3.47493869403408,2.85935707685153,2.18312168404026,2.8266574334021,4.17109628342191,3.07033838985004
"ENSMUSG00000030889","ENSMUSG00000030889",11.5107344239879,4.65178987129578,9.74789217059837,10.9297420758215,16.1207234737658,12.9512455717311
"ENSMUSG00000030888","ENSMUSG00000030888",8.19868348123667,20.5276231935162,11.3725408656981,11.1810005143461,10.8223038705001,15.463340617972
"ENSMUSG00000030881","ENSMUSG00000030881",48.7034376335715,47.9262387657354,48.0794473206076,49.4350977797212,51.1804787209067,43.989575476397
"ENSMUSG00000026753","ENSMUSG00000026753",58.5309986276366,57.7846191351787,60.0104611752462,58.9829184436572,77.5598444052507,59.7320377661736
"ENSMUSG00000026750","ENSMUSG00000026750",84.4301510816094,105.668180929618,84.4817321451859,83.166543151653,134.658770555337,102.102707546104
"ENSMUSG00000030884","ENSMUSG00000030884",191.44740367444,188.50418221572,181.503721405673,209.047020852493,407.358281625543,234.238906978378
"ENSMUSG00000026754","ENSMUSG00000026754",32.5232543394753,44.1279883203655,40.6162173774932,41.2691985276707,36.2434447329769,39.1328583869978
"ENSMUSG00000026755","ENSMUSG00000026755",39.5274276446377,42.0368167268472,48.2317581357732,44.2214851803351,53.8296885225396,41.8682507706824
"ENSMUSG00000007338","ENSMUSG00000007338",35.346642028378,33.1600066972185,31.934500913054,32.9148554467267,40.5836395143754,40.1935207398551
"ENSMUSG00000081643","ENSMUSG00000081643",2.1718366837713,2.0058176509257,1.82772978198719,2.63821360450863,1.91644964373439,1.95385170263185
"ENSMUSG00000004446","ENSMUSG00000004446",12.2165813462136,5.12123655555498,9.13864890993597,15.515208578896,10.8223038705001,12.0580562219565
"ENSMUSG00000098557","ENSMUSG00000098557",135.033945813481,96.7060169573966,115.959300612743,138.506214236703,77.8980414012039,2.40044637751912
"ENSMUSG00000028937","ENSMUSG00000028937",16.8317342992276,22.0213171888864,16.348027494441,18.2790514026669,20.0663550932189,29.1961268707559
"ENSMUSG00000089417","ENSMUSG00000089417",5.32099987523969,6.74296146481406,4.41701363980239,4.89953955123031,8.11672790287508,5.30331176428644
"ENSMUSG00000085882","ENSMUSG00000085882",10.0447446624423,9.68767248425818,10.3063651595389,10.741298246928,10.8223038705001,8.76442049466285
"ENSMUSG00000029919","ENSMUSG00000029919",21.6097750035245,20.1862074231459,24.9789736871583,16.6458715522568,6.08754592715631,6.7547444576701
"ENSMUSG00000029918","ENSMUSG00000029918",16.5059587966619,15.9185102935167,12.540257115301,14.6986186536909,18.7135671094064,13.621137584062
"ENSMUSG00000029915","ENSMUSG00000029915",2.11754076667702,3.58486558888849,4.01085146602745,2.51258438524631,1.46552031579689,2.2329733744364
"ENSMUSG00000029916","ENSMUSG00000029916",15.5829282060591,15.2783557240724,13.6572030931821,12.6885511454939,16.9098497976564,16.747300308273
"ENSMUSG00000029911","ENSMUSG00000029911",20.8496321642045,24.0698118111084,21.8312168404026,19.8494166434459,23.1101280567971,21.3248957258676
"ENSMUSG00000029910","ENSMUSG00000029910",7.05846922225673,19.1619601120349,8.68171646443917,10.6784836372968,6.82030608505475,17.0822463144384
"ENSMUSG00000029913","ENSMUSG00000029913",4.995224372674,7.93791666111023,6.44782450867705,5.15079798975494,5.01658877330474,5.86155510789554
"ENSMUSG00000000120","ENSMUSG00000000120",2.71479585471413,8.70610214444347,11.5248516808637,3.20354509118905,15.8388926438048,13.9560835902275
"ENSMUSG00000035273","ENSMUSG00000035273",18.3520199778675,11.9922289342579,21.8312168404026,31.030417157792,11.2168670324454,8.42947448849739
"ENSMUSG00000043263","ENSMUSG00000043263",13.2482037710049,14.936939953702,13.0479598325197,42.0857884528758,11.4986978624064,7.64793380744465
"ENSMUSG00000043262","ENSMUSG00000043262",27.6366218009898,12.8457683601838,23.4050952637805,23.9323662694711,12.9078520122111,27.2980995024849
"ENSMUSG00000035279","ENSMUSG00000035279",44.576947934406,48.8651321342538,39.3469605844465,48.0531763678357,33.5378687653519,34.4994386350423
"ENSMUSG00000035278","ENSMUSG00000035278",13.7368670248535,10.7545967666655,16.4495680378847,14.3845456055351,9.18768505672665,13.3978402466184
"ENSMUSG00000031609","ENSMUSG00000031609",3.85501011369406,9.00484094351751,5.33087853079598,4.20857884528758,4.39656094739067,5.80573077353463
"ENSMUSG00000044533","ENSMUSG00000044533",122.545884881796,156.411099800908,162.92180195547,155.026456569698,121.750918543126,162.895407665135
"ENSMUSG00000034435","ENSMUSG00000034435",24.21597902405,15.1076478388872,20.155797873581,31.0932317674231,17.8680746195236,15.5191649523329
"ENSMUSG00000034430","ENSMUSG00000034430",17.6461730556418,16.8147266907389,25.1312845023239,22.5504448575857,15.1061324859064,19.6501656950403
"ENSMUSG00000034432","ENSMUSG00000034432",26.0620402052556,28.1241240842561,25.6897574912645,23.6182932213153,32.4105454455081,27.9121671804549
"ENSMUSG00000034438","ENSMUSG00000034438",3.47493869403408,4.77982078518465,4.11239200947119,6.90960705942736,1.74735114575783,2.40044637751912
"ENSMUSG00000083481","ENSMUSG00000083481",7.81861206157669,10.8399507092581,9.79866244232024,8.85685995799326,7.5530662429532,5.86155510789554
"ENSMUSG00000017723","ENSMUSG00000017723",28.7225401428755,2.73132616296266,26.9590142843111,91.6465154518593,34.4960935872191,20.7666523822585
"ENSMUSG00000017721","ENSMUSG00000017721",78.5118961183326,98.7118346083223,90.7772458386973,88.757043408826,76.6579857493757,96.0736794351259
"ENSMUSG00000017724","ENSMUSG00000017724",2.71479585471413,7.12705420648069,4.87394608529918,6.15583174385347,2.98740679758597,17.6404896580475
"ENSMUSG00000015474","ENSMUSG00000015474",26.6592952932927,20.7410080499977,24.1158790678866,26.3821360450863,22.7155648948518,24.4510584500785
